,post_caption,platform,create_time
161,📢 عرض استثنائي من موبيليس! 🔥  بـ 9000 دج! 🚀  جيبلك Pack Internet جديد 😍 ✅ عندك 200GB +مودم Wifi 4G صالح لمدة 9 أشهر كاملة  شكّل#600* 💻 تصفح، شاهد، تعلم.. وابقَ دائمًا متصل مع تغطية قوية وأفضل العروض من موبيليس. 👉 العرض متوفر الآن.. لا تفوت الفرصة! #معا_نصنع_المستقبل ,tiktok,2025-09-24T10:06:37.000Z
162,من طوكيو 🇯🇵.. البطل جمال سجاتي يشكر #موبيليس بعد تتويجه بالفضية 🥈🇩🇿💪,tiktok,2025-09-20T22:48:10.000Z
163,مع #موبيليس..كي تحصل هذه هي الخدمة لي تسلكك,tiktok,2025-09-17T10:49:55.000Z
164,✅#موبيليس، الراعي الأول والدائم للهلال الأحمر الجزائري، يجدد التزامه بدعم المبادرات الإنسانية والاجتماعية 🤝❤️ ✅نفخر بمساهمتنا في الحملة الوطنية للدخول الاجتماعي، لمرافقة العائلات المحتاجة وضمان انطلاقة موفقة لأبنائنا في الموسم الدراسي الجديد #موبيليس_معا_نصنع_المستقبل,tiktok,2025-09-11T19:39:22.000Z
165,📌معرض التجارة البينية الأفريقية 2025: موبيليس في قلب الحدث حتى الختام! ✅ طوال أيام المعرض، تشرفنا بلقاء مجموعة واسعة من ضيوف الجزائر  .. رواد الأعمال، والمبتكرين والصحفيين من جميع أنحاء القارة السمراء . ✅نشكر كل من زار جناحنا وساهم في إنجاح هذا الحدث الكبير، ونتطلع إلى مستقبل مزدهر ومترابط للقارة الأفريقية. موبيليس.. معا، نصنع المستقبل,tiktok,2025-09-11T17:20:30.000Z
166,"Countdown time! IATF 2025 🇩🇿🇩🇿 ends tomorrow.. Find us at Central Pavilion – Annex C2, Palais des Expositions, Algiers, before the doors close!  #Mobilis #IATF2025",tiktok,2025-09-10T09:56:41.000Z
167,حاضرون في المعرض الإفريقي للتجارة البينية IATF 2025بالجناح المركزي - الملحق C2 بقصر المعارض، الصنوبر البحري.,tiktok,2025-09-08T20:16:36.000Z
218,"في حلقة اليوم من One Click، نتحدث عن آلام المفاصل، وأسبابها المختلفة.  نتعرف على أفضل الطرق لتخفيفها وعلاجها بشكل فعّال. تابعوا الحلقة ولا تنسوا مشاركتها لنشر الفائدة. Dans l’épisode d’aujourd’hui de One Click, nous parlons des douleurs articulaires, de leurs différentes causes et des meilleures façons de les soulager et de les traiter efficacement. Regardez l’épisode et n’oubliez pas de le partager pour diffuser l’information. #Les_laboratoires_FRATER_RAZES #santé #pharmacie #الجزائر🇩🇿 #fry ",tiktok,2025-10-24T19:43:17.000Z
225,"Les journées de sensibilisation sur l’ostéoporose, organisées par les laboratoires FRATER-RAZES en collaboration avec l’établissement hospitalier Medjbeur Tami à Aïn El Turk – Oran, se sont clôturées après trois jours de sensibilisation à la santé osseuse et de présentation des moyens de prévention de l’ostéoporose. L’événement a vu la participation de médecins spécialistes, de professionnels de la santé ainsi que de nombreux citoyens qui ont largement interagi avec le programme de sensibilisation. تختتم الأيام التحسيسية حول هشاشة العظام، التي نظّمتها مخابر فراتر رازس بالتعاون مع المؤسسة الاستشفائية مجبر تامي بعين الترك – وهران، بعد ثلاثة أيام من نشر الوعي الصحي والتعريف بسبل الوقاية من هشاشة العظام، بمشاركة أطباء مختصين ومهنيي الصحة ومواطنين تفاعلوا بشكل واسع مع البرنامج التحسيسي.",tiktok,2025-10-22T15:37:41.000Z
236,ثلاثة أيام من الحضور الفعّال والتبادل المثمر في صالون PHARMEX 2025.  شكرًا لكل من زار جناحنا وشاركنا هذه التجربة القيّمة. Trois jours de présence active et d’échanges fructueux au Salon PHARMEX 2025. Merci à tous ceux qui ont visité notre stand et partagé cette expérience enrichissante. #Les_laboratoires_FRATER_RAZES #pharmacie #santé #الجزائر🇩🇿 #fry ,tiktok,2025-10-20T10:17:16.000Z
238,"في حلقة اليوم من One Click، نتحدث عن مشروبات الطاقة ولماذا هي غير مفيدة لجسمك ولا تمنحك النشاط الحقيقي الذي تبحث عنه. تابعوا الحلقة ولا تنسوا مشاركتها لنشر الفائدة. Dans l’épisode d’aujourd’hui de One Click, nous parlons des boissons énergisantes et pourquoi elles ne sont pas bénéfiques pour votre corps et n’apportent pas l’énergie réelle que vous recherchez. Regardez l’épisode et n’oubliez pas de le partager pour diffuser l’information. #Les_laboratoires_FRATER_RAZES #الجزائر🇩🇿 #pharmacy #foryou ",tiktok,2025-10-17T20:23:51.000Z
241,"ترافقكم مخابر فراتر رازاس طوال هذا الشهر المخصّص لمكافحة سرطان الثدي والتوعية بهشاشة العظام، من خلال مختلف الحملات المنظمة عبر عدّة ولايات. لأن الصحة أولويتنا، نمضي معًا نحو مستقبل أكثر طمأنينة. Les Laboratoires FRATER-RAZES vous accompagnent tout au long de ce mois dédié à la lutte contre le cancer du sein et à la sensibilisation à l’ostéoporose, à travers différentes actions organisées dans plusieurs wilayas. Parce que la santé est notre priorité, avançons ensemble pour un avenir plus serein. #octobre_rose🎗️❤️ #osteoporose #santé #pharmacie #medecine ",tiktok,2025-10-02T20:01:07.000Z
242,هل سبق لك أن أغمضت عينيك بقوة، أو جلست في الظلام، ورأيت ومضات أو بقعًا من الضوء تتحرك وتتلون؟ قد تظن أنها أوهام… لكنها في الواقع ظاهرة حقيقية تعرف عليها معنا. #Les_laboratoires_FRATER_RAZES,tiktok,2025-10-01T16:16:33.000Z
243,"في حلقة اليوم من One Click، نتحدث عن أعراض السكتة القلبية وكيف يمكن التعرف المبكر عليها أن يقلل من المخاطر الصحية.   تابعوا الحلقة ولا تنسوا مشاركتها لنشر الفائدة. Dans l’épisode d’aujourd’hui de One Click, nous parlons des symptômes de l’infarctus et de l’importance d’un dépistage précoce pour réduire les risques pour la santé.  Regardez l’épisode et n’oubliez pas de le partager pour diffuser l’information. #Les_laboratoires_FRATER_RAZES ",tiktok,2025-09-30T13:54:03.000Z
244,"في حلقة اليوم من One Click، نسلّط الضوء على أهمية توصيات الصيدلي في استخدام الأدوية بشكل آمن وفعّال، ودوره في تحسين صحة المريض وجودة العلاج.  تابعوا الحلقة ولا تنسوا مشاركتها لنشر الفائدة. Dans l’épisode d’aujourd’hui de One Click, nous mettons en lumière l’importance des conseils du pharmacien pour une utilisation sûre et efficace des médicaments, ainsi que son rôle dans l’amélioration de la santé du patient et de la qualité des soins. Regardez l’épisode et n’oubliez pas de le partager pour en faire profiter le plus grand nombre.",tiktok,2025-09-26T14:11:13.000Z
245,"في هذه الحلقة من One Click، نسلّط الضوء على العادات التي تساعدك على النوم بشكل أفضل، لتستيقظ بطاقة وحيوية وتبدأ يومك بنشاط.  وأنتم، ما هي عاداتكم المفضلة للحصول على نوم هادئ ومريح؟ Dans cet épisode de One Click, nous mettons en avant les habitudes qui favorisent un meilleur sommeil, afin de vous réveiller plein d’énergie et de vitalité.  Et vous, quelles sont vos habitudes préférées pour profiter d’un sommeil paisible et réparateur ? #Les_laboratoires_FRATER_RAZES #الجزائر🇩🇿 #tiktokalgeria #fyp ",tiktok,2025-09-11T20:28:04.000Z
247,"في حلقة اليوم من برنامج One Click، سنتعرف معًا على الطرق الصحيحة لحماية مريض الربو من العوامل التي قد تزيد من نوبات ضيق التنفس، وكيف يمكنه التخفيف من الأعراض والوقاية من المضاعفات، مع أبرز النصائح للحفاظ على سلامة جهازه التنفسي. تابعونا للمزيد من المعلومات والإرشادات! ~Dans l’épisode d’aujourd’hui de One Click, nous verrons ensemble comment protéger une personne asthmatique des facteurs pouvant aggraver ses crises, comment soulager les symptômes et prévenir les complications, ainsi que les principaux conseils pour préserver la santé de ses poumons. Suivez-nous pour plus d’informations et de conseils ! #pharmacie #pharmaDZ #santé #دواء #نصائح_صحية",tiktok,2025-08-28T16:12:09.000Z
248,"في حلقة اليوم من One Click، وبالتعاون مع جمعية ASEPA، سنتعرف على عمل الأدوية التي يجب على متناوليها تجنّب التعرض لأشعة الشمس، بالإضافة إلى الإجراءات الوقائية اللازمة لحماية صحتكم. تابعونا لاكتشاف التفاصيل والنصائح الطبية الهامة! Dans l’épisode d’aujourd’hui de One Click, et en collaboration avec l’Association ASEPA, nous découvrirons le mode d’action des médicaments dont la prise nécessite d’éviter l’exposition au soleil, ainsi que les mesures préventives essentielles pour protéger votre santé. Suivez-nous pour en savoir plus et bénéficier de conseils médicaux précieux ! #santé #pharmacie #fry #الجزائر🇩🇿 #vairal ",tiktok,2025-08-21T20:02:02.000Z
249,"في حلقة اليوم من برنامج One Click، سنتعرف معًا على كيفية حماية مريض السكري من التعرض لدرجات الحرارة المرتفعة في الصيف، وكيف يحمي نفسه من مضاعفاتها، مع أهم إجراءات الوقاية للحفاظ على صحته. تابعونا للمزيد من المعلومات والنصائح! ~Dans l’épisode d’aujourd’hui de One Click, nous verrons ensemble comment protéger une personne diabétique contre l’exposition aux températures élevées en été, comment elle peut se prémunir des complications et découvrir les principales mesures de prévention pour préserver sa santé. Suivez-nous pour plus d’informations et de conseils !",tiktok,2025-08-14T20:22:25.000Z
250,هل يعمل دماغ المرأة بطريقة مختلفة عن دماغ الرجل؟ كيف؟! ولماذا؟! اكتشفوا ذلك في حلقتنا اليوم من  من Santé 360° #Les_laboratoires_FRATER_RAZES,tiktok,2025-08-13T16:33:28.000Z
251,"واقي شمس واحد، لكن النتائج مختلفة! أحدهم يصاب بحروق… والآخر يكتسب سمرة! في حلقة اليوم، وبالتعاون مع جمعية ASEPA، نشارككم أهم المعلومات والنصائح لحماية بشرتكم من أضرار أشعة الشمس، وتجنّب العادات الشائعة التي قد تضر بصحتها.  تابعونا للمزيد من النصائح Même crème solaire, mais des résultats complètement différents !  L’un attrape un coup de soleil, l’autre bronze tranquillement... Pourquoi cette différence ? Dans cet épisode, en collaboration avec l’association ASEPA, on vous dévoile les secrets d’une bonne utilisation de la crème solaire pour bien protéger votre peau.  Suivez-nous pour plus de conseils ! #les_laboratoires_frater_razes #santé #pharmacie #الجزائر🇩🇿 #fry #tiktokalgeria #fyp #vairal ",tiktok,2025-08-07T20:21:41.000Z
252,"هل يرى المكفوفون ""الضوء"" أحيانًا رغم فقدان البصر ؟  #Les_laboratoires_FRATER_RAZES #معلومة #هل_تعلم  #المكفوفين ",tiktok,2025-07-25T20:55:55.000Z
253,"في أولى حلقات برنامج One Click، نغوص في عالم البروبيوتيك والبريبيوتيك. ما الفرق بينهما؟ ولماذا تُعدّ صحة أمعائك مفتاح صحتك النفسية والجسدية؟ معلومات علمية مبسّطة، ونصائح عملية لتحسين صحة جهازك الهضمي! شاهد الحلقة الآن، ولا تنسَ مشاركتها مع أصدقائك! Dans le tout premier épisode de notre émission One Click, nous plongeons dans l’univers fascinant des probiotiques et des prébiotiques. Quelle est la différence entre les deux ? Et pourquoi la santé de vos intestins est-elle la clé de votre bien-être physique et mental ? Des explications scientifiques accessibles et des conseils concrets pour une meilleure santé digestive ! Regardez l’épisode dès maintenant, et n’oubliez pas de le partager avec vos amis ! #algerie #foryou #fyp #algeria #santé #pharmacie #médecine #viraltiktok #viral #الجزائر ",tiktok,2025-07-17T21:15:39.000Z
255,"Que ce soit à la maison, en voiture ou en voyage, une trousse bien préparée permet de réagir rapidement en cas de petits incidents du quotidien Dans cette vidéo, réalisée en collaboration avec l’association ASEPA, nous présentons les éléments essentiels à inclure pour assurer une première prise en charge en attendant un avis médical si nécessaire سواء في المنزل، في السيارة أو أثناء السفر، حقيبة مجهزة جيداً تساعد على التعامل بسرعة مع الحوادث البسيطة اليومية في هذا الفيديو، وبالتعاون مع جمعية ASEPA، نستعرض العناصر الأساسية التي يجب أن تتوفر في حقيبة الإسعافات لضمان تدخل أولي مناسب في انتظار تدخل طبي عند الحاجة #Prévention #Santé #TrousseDeSecours #حقيبة_الإسعافات #الصحة #الوقاية ",tiktok,2025-06-12T23:01:33.000Z
256,"Certains médicaments sont indispensables dans une trousse de voyage Petits maux, imprévus, déplacements prolongés... mieux vaut être préparé Dans cette vidéo, réalisée avec l’association ASEPA, nous vous présentons les médicaments de base à emporter avec vous, adaptés aux besoins les plus courants en voyage بعض الأدوية لا يمكن الاستغناء عنها أثناء السفر الآلام الخفيفة، الطوارئ البسيطة، أو التنقل لفترة طويلة... من الأفضل الاستعداد في هذا الفيديو، وبالتعاون مع جمعية ASEPA، نقدم لكم قائمة بالأدوية الأساسية التي يُنصح بوضعها في حقيبة السفر لتغطية الاحتياجات الصحية الشائعة #voyage #medicaments #santé #pharmacie #trousseasecours #مستلزمات_السفر #اسعافات_اولية #ادوية #صيدلية #نصائح_صحية #وقاية #سياحة ",tiktok,2025-06-04T20:18:25.000Z
257,"Préparer ses documents médicaux est une étape souvent oubliée avant le départ En cas de besoin, ils peuvent pourtant faciliter l’accès aux soins ou à une prise en charge rapide Dans cette vidéo réalisée avec l’association ASEPA, découvrez les documents utiles à avoir sur vous pendant un voyage. تحضير الوثائق الطبية خطوة غالباً ما يتم تجاهلها قبل السفر لكنها قد تسهّل الكثير في حال الحاجة إلى رعاية صحية أو تدخل طبي سريع في هذا الفيديو، وبالتعاون مع جمعية ASEPA، نعرض لكم أهم الوثائق التي يُنصح بحملها أثناء السفر. #Voyage #Médical #Podcast #Pharmacie #الصحة",tiktok,2025-06-02T21:41:26.000Z
258,"Avant de partir en voyage, prends une minute pour écouter ces conseils simples mais essentiels pour ne pas te retrouver sans traitement pendant ton voyage. قبل السفر، خصّص دقيقة لسماع هذه النصائح البسيطة ولكن الضرورية لتجنّب نفاد الأدوية أثناء رحلتك. #santé #voyage #médicaments #pharmacie #podcast #médecine #الصحة #الأدوية",tiktok,2025-05-28T20:54:36.000Z
259,"نشرت وزارة الصناعة الصيدلانية تقريراً إعلامياً للتلفزيون العمومي الجزائري حول نشاط مخابر فراتر رازس، يُبرز مساهمتنا في تطوير الصناعة الصيدلانية في الجزائر. تقرير يعكس التزامنا، وخبرتنا، والدور المحوري الذي نلعبه في ديناميكية القطاع الصيدلاني الوطني. Le Ministère de l’Industrie Pharmaceutique a partagé un reportage réalisé par la télévision publique ENTV, mettant en lumière notre activité et notre contribution au développement du secteur pharmaceutique en Algérie. Un aperçu de notre engagement, de notre savoir-faire, et de notre rôle dans la dynamique que connaît aujourd’hui l’industrie pharmaceutique nationale. #entv #algerie🇩🇿 #pharmacy #الوزارة #الجزائر ",tiktok,2025-05-16T15:41:40.000Z
260,Merci au Club MedX pour l’intérêt porté aux Laboratoires FRATER-RAZES et pour cette visite enrichissante. #Les_laboratoires_Frater_Razes  ,tiktok,2025-05-07T10:22:15.000Z
261,تتقدّم مخابر فراتر رازس إليكم بأحرّ التهاني بمناسبة عيد الفطر، راجين من الله أن يغمر قلوبكم بالفرح، ويتقبل صيامكم وقيامكم، ويمنّ عليكم بالسعادة والرخاء. كل عام وأنتم بخير، وعيد مبارك لكم ولعائلاتكم!  #Les_laboratoires_Frater_Razes  #aid ,tiktok,2025-03-30T19:33:52.000Z
262,"تعاني من مشاكل الهضم في رمضان؟  عاداتك الغذائية قد تكون السبب! الكثيرون يعانون من الانتفاخ، الحموضة، وعسر الهضم بعد الإفطار بسبب بعض الأخطاء الشائعة. 🍽️❌  لكن الحل بسيط! ✅ في هذا الفيديو، ستتعرف على الطريقة الصحيحة للإفطار لتجنب هذه المشاكل والاستمتاع بصيام مريح. Des problèmes de digestion pendant le Ramadan ? Cela peut venir de vos habitudes alimentaires ! Dans cette vidéo, découvrez comment bien rompre le jeûne pour éviter ballonnements, brûlures d’estomac et inconfort digestif. #نصائح_صحية #Ramadan #sante #صحة #رمضان #رمضان_يجمعنا #رمضان_كريم #وقاية #علاج #صيدلية #الصيام #الهضم #مشاكل_الهضم ",tiktok,2025-03-26T17:09:12.000Z
263,تعاني من اضطرابات النوم في رمضان؟ 😴  اكتشف الأسباب والحلول في هذا الفيديو لتحظى بنوم مريح خلال الشهر الفضيل! Vous souffrez de troubles du sommeil pendant le Ramadan ? 😴 Découvrez les causes et les solutions dans cette vidéo pour profiter d’un sommeil réparateur durant le mois sacré ! #نصائح_صحية #Ramadan #sante #صحة #رمضان #رمضان_يجمعنا #رمضان_كريم #وقاية #علاج #صيدلية #الصيام #Sommeil #Ramadan #Santé #BienÊtre #Conseils,tiktok,2025-03-24T17:05:29.000Z
264,"Nous avons eu le plaisir de nous retrouver autour d’un iftar chaleureux au restaurant Madhaq, dans une ambiance conviviale et authentique. Cet événement a été l’occasion de renforcer les liens entre collaborateurs et de célébrer nos valeurs de solidarité et de partage. Chez Les Laboratoires FRATER-RAZES, nous mettons l’esprit d’équipe et le bien-être de nos collaborateurs au cœur de notre culture. Merci à tous pour votre présence et votre engagement au quotidien ! #les_laboratoires_frater_razes ",tiktok,2025-03-22T22:46:05.000Z
265,"عكس المرأة الحامل، صيام المرأة المرضعة يطرح العديد من التساؤلات، ليس لخطورته على صحتها، ولكن لتأثيره المحتمل على رضاعة طفلها، مما قد يسبب لها التردد أو تأنيب الضمير في حالة صيامها أو عدمه. إليكِ بعض النصائح لمساعدتكِ في اتخاذ القرار المناسب خلال رمضان، وشاركيها مع الأمهات المرضعات. Contrairement à la femme enceinte, le jeûne de la femme qui allaite soulève de nombreuses questions, non pas en raison d'un risque pour sa santé, mais en raison de son impact potentiel sur l'allaitement de son bébé. Cela peut la rendre hésitante ou lui causer un sentiment de culpabilité, qu'elle décide de jeûner ou non. Voici quelques conseils pour t'aider à prendre la meilleure décision pendant le Ramadan. N'hésite pas à les partager avec les mamans qui allaitent. #نصائح_صحية #Ramadan #sante #صحة #رمضان #رمضان_يجمعنا #رمضان_كريم #وقاية #علاج #صيدلية #الصيام #المرأة_المرضعة ",tiktok,2025-03-20T17:25:27.000Z
266,"القلق والعصبية في رمضان ليسا نتيجة الصيام نفسه، بل قد يكونان مرتبطين بتغيرات نمط الحياة خلال هذا الشهر المبارك. فالامتناع عن بعض العادات و المواد مثل الكافيين أو التدخين قد يؤدي إلى أعراض انسحابية، أبرزها التوتر والانفعال. كما أن اضطراب النوم نتيجة تغير أوقات الطعام والراحة قد يزيد من الشعور بالإرهاق والقلق.   لكن لا تنسوا أن رمضان هو شهر الطمأنينة والسكينة، ومع بعض التعديلات البسيطة في الروتين، يمكن تقليل هذه الأعراض والشعور براحة أكبر. كيف تتعاملون مع القلق والتوتر في رمضان؟ شاركونا تجاربكم في التعليقات! L’anxiété et l’irritabilité en Ramadan sont souvent dues aux changements de mode de vie, comme l’arrêt de la caféine ou du tabac et les perturbations du sommeil. Ces facteurs peuvent causer du stress et de la fatigue. Cependant, avec quelques ajustements, il est possible de mieux gérer ces effets et de vivre le mois dans la sérénité. Et vous, comment gérez-vous le stress en Ramadan ? Partagez vos expériences en commentaire ! #نصائح_صحية #Ramadan #sante #صحة #رمضان #رمضان_يجمعنا #رمضان_كريم #وقاية #علاج #صيدلية #الصيام #المناعة ",tiktok,2025-03-18T11:33:28.000Z
267,"Convaincus que la réussite d'une entreprise repose avant tout sur l'humain, nous avons organisé un Iftar au restaurant Madhaq à l'occasion du Ramadan, afin d'exprimer notre reconnaissance envers toutes celles et ceux qui contribuent chaque jour au développement de notre laboratoire. Ce moment spécial a permis à nos équipes de se réunir dans une ambiance conviviale, propice aux échanges et à la célébration des valeurs de solidarité et de fraternité. #Les_Laboratoires_FRATER_RAZES  #Ramadan",tiktok,2025-03-15T14:07:06.000Z
268,"الكثير لا يستفيد من الصيام بسبب الجفاف! في رمضان نركّز على كميات كبيرة من الطعام وننسى شرب الماء بكميات كافية لترطيب الجسم. في حلقة اليوم من""صحتك في رمضان""سنتعرف على اهمية تفادي الجفاف في رمضان، شاركونا في التعليقات كيف تتجنبون الجفاف خلال رمضان. De nombreuses personnes ne tirent pas pleinement profit du jeûne en raison de la déshydratation. Durant le Ramadan, l'accent est souvent mis sur la quantité de nourriture consommée, au détriment d'une hydratation adéquate. Or, un apport suffisant en eau est essentiel pour préserver l'équilibre du corps et éviter les désagréments liés au manque d’hydratation. Dans l’épisode du jour, nous mettrons en lumière l'importance d'une bonne hydratation et partagerons des conseils pour prévenir la déshydratation durant le jeûne. Et vous, quelles sont vos astuces pour maintenir une hydratation optimale pendant le Ramadan ? Partagez-les avec nous en commentaire. #نصائح_صحية #Ramadan #sante #صحة #رمضان #رمضان_يجمعنا #رمضان_كريم #وقاية #علاج #صيدلية #الصيام #المناعة",tiktok,2025-03-13T19:39:07.000Z
